Complexity,Loss,Equation
1,0.0012974753,"0.2167477"
4,0.0009514311,"exp(x0 + -1.5186248)"
5,0.00078193285,"0.22147435 - (x0 * -0.14464195)"
6,0.0007818664,"1.2217479 - exp(x0 * -0.14479564)"
8,0.0007757373,"exp(x0 * (0.5530925 - x1)) * 0.22070864"
9,0.0007701481,"((x1 * -0.03815641) + (x0 * 0.17305464)) + 0.21824227"
10,0.0007643528,"(0.2180959 - (x0 * -0.17707467)) * exp(x1 * -0.21463726)"
12,0.000747956,"(exp((-0.38118863 - x1) * x1) * 0.22070864) - (x0 * -0.17117809)"
14,0.0007466516,"(exp(x1 * ((-0.3982791 - x1) * 0.8344356)) * 0.22045721) - (x0 * -0.17276336)"
