Complexity,Loss,Equation
1,0.0014562997,"0.21526037"
4,0.0011680955,"sqrt(-0.06318062 / x0)"
5,0.00085649895,"(x0 * 0.068365596) + 0.3169676"
6,0.0008443593,"(square(x0) * -0.026813371) - -0.27804583"
8,0.0008443592,"log(exp((square(x0) * -0.026813408) - -0.27804592))"
9,0.00084207574,"log(exp(square((square(x0) * -0.028415482) - -0.5297068)))"
10,0.00082770665,"(log(exp(exp(x0 + -0.6924724))) + -0.43407458) / x0"
11,0.0007668494,"square(((square(x0) * -0.15503983) - -0.43646657) * x0) + 0.18999317"
13,0.0007088195,"log(square(square(x0 * ((square(x0) * -0.3254101) - -0.9048438))) + 1.2168187)"
