Complexity,Loss,Equation
1,0.023621362,"0.68545425"
5,0.02185769,"0.7131487 - square(square(x0))"
6,0.020380631,"exp(-0.28370678 - (x1 * x1))"
8,0.019926094,"exp(-0.49639195 - (x1 * x1)) - -0.13575533"
12,0.018210799,"exp(x0 - (0.710865 / exp(0.41826835 - cube(x0 + x1))))"
