Complexity,Loss,Equation
1,0.002430459,"0.26081"
5,0.002258671,"exp(square(x0)) * 0.24278"
6,0.0021898542,"square(x0 - x1) + 0.24728863"
7,0.0019386633,"((x0 - x1) * x0) + 0.24339363"
9,0.0017176147,"0.24418828 - ((0.158677 - x0) * (x0 - x1))"
11,0.0016961378,"0.24825215 - (((0.2328052 - x0) * 0.76880306) * (x0 - x1))"
12,0.0015751682,"0.24825215 - (((0.2328052 - x0) * exp(x1)) * (x0 - x1))"
13,0.0015537388,"0.24784017 - ((x0 - x1) * ((0.22685954 - x0) * (x1 - -1.0113876)))"
