Complexity,Loss,Equation
1,0.00088842947,"0.21295172"
5,0.00073469756,"(x0 * 0.03740521) - -0.20949878"
6,0.0007105161,"(cube(x0) * 0.18662547) - -0.20923972"
7,0.00068454636,"((x1 + x0) * 0.029314749) - -0.20885028"
9,0.00066923635,"(x0 * 0.037972976) - ((x1 * -0.02220403) - 0.20838925)"
10,0.00064031465,"(x1 * 0.02299916) - (cube(x0 * -0.576538) - 0.20804645)"
12,0.00062146294,"((x1 + x0) * 0.03106646) - (cube(x0 * x1) - 0.2083626)"
14,0.0005977257,"cube((x1 * 0.023981899) - ((x0 * ((x1 * 0.049743384) - 0.03520742)) - 0.59121287))"
