Complexity,Loss,Equation
1,0.019921405,"0.29622203"
5,0.008313506,"sqrt(square(x1 - x0))"
6,0.0025971918,"square(x0 - x1) + 0.20288408"
7,0.0014894664,"square(square(x0 - x1) - -0.443079)"
9,0.0014868445,"square(square((x1 - x0) + -0.0020630069) + 0.4427832)"
11,0.0012195425,"square(cube(sqrt(square(x1 - x0)) - -0.14463502) - -0.43215537)"
