Complexity,Loss,Equation
1,0.011686428,"0.31445846"
4,0.010238314,"0.33859104 - cube(x1)"
6,0.009341964,"0.35473314 - square(x0 + -0.11051895)"
7,0.008782198,"(x0 + 0.5277822) * (0.6853559 - x1)"
9,0.00816431,"cube((x0 / exp(x0)) - (-0.74095535 + x1))"
10,0.00786386,"cube((x0 / (x0 - -0.98483914)) - (x1 + -0.74095535))"
14,0.0076621487,"cube((x0 / (((x0 - x1) + x0) - -0.98483914)) - (x1 + -0.74095535))"
