Complexity,Loss,Equation
1,0.0029074827,"0.24745783"
5,0.0027385808,"1.0921221 / (x0 + 4.4885097)"
6,0.0021551421,"exp(x1 - x0) * 0.24234824"
7,0.0021298039,"((x0 - x1) * -0.29774645) + 0.24659453"
8,0.0021164967,"exp(((x1 + -1.1915184) - x0) * 1.1799334)"
9,0.002061756,"((x1 + 0.739104) * 0.31172186) / (x0 + 0.9256462)"
10,0.0020489758,"square((0.60438657 / exp(x0)) * (exp(x1) + -0.17318524))"
11,0.0019812132,"((exp(x1) + -0.36352235) * 0.29930285) / (exp(x0) + -0.23838517)"
14,0.0019664527,"exp(1.4405428 - (x0 - ((x1 * 1.6000965) - (x0 * 0.3341276)))) * 0.059063427"
