Complexity,Loss,Equation
1,0.030560637,"0.32701996"
4,0.026151542,"0.42308393 - square(x1)"
5,0.023449864,"square(0.6536249 - square(x1))"
6,0.02317028,"0.43091434 / cube(exp(square(x1)))"
7,0.022855029,"0.43091434 / exp(square(x1 / 0.53229815))"
8,0.022152212,"0.59648854 / (square(x1 * 2.8777902) + 1.2829013)"
10,0.021882756,"0.75362337 / (square((x0 + 3.0328815) * x1) + 1.6358632)"
12,0.021781435,"0.7648444 / (square((x1 * (x0 + 3.3358994)) + -0.084029704) + 1.6314427)"
14,0.021693213,"(0.68032664 / (square((x1 * (x0 + 3.295923)) + -0.07214808) + 1.5908239)) - -0.03178633"
