Complexity,Loss,Equation
1,0.0012400551,"0.21303247"
5,0.0009931318,"cube(square(x0)) + 0.20429663"
6,0.00093494804,"cube(x0 / 1.7269204) + 0.20810705"
7,0.00084365177,"square(-0.06788935 - cube(x0)) + 0.19625464"
9,0.00076555175,"0.20870681 - ((-0.38270047 + x1) * (x0 * 0.11408677))"
11,0.00072502875,"0.2138994 - (((x0 + -0.12327281) * (x1 + -0.37557256)) * 0.112914994)"
12,0.00069960044,"(1.4315996 - ((x0 * (x1 - 0.2788146)) - square(x0))) / 7.585257"
14,0.0006161703,"(1.4457004 - (((x0 + -0.19343759) * x1) - square(x0))) / (7.598222 - x0)"
