Complexity,Loss,Equation
1,0.0017880277,"0.21159448"
5,0.0012481781,"0.30500096 - (x0 * -0.06331295)"
6,0.0012386249,"0.15817109 - (exp(x0) * -0.21657023)"
7,0.0012226631,"0.18665916 - (x1 * cube(exp(x0)))"
9,0.0011568222,"(-0.11223269 - (exp(cube(x0)) * 0.37701893)) * x1"
10,0.0011524365,"(-0.11223269 - (exp(-0.90705794) * exp(cube(x1)))) * x1"
11,0.001121073,"(-0.11223269 - (0.37701893 * exp(cube(x1) * 0.9174116))) * x1"
12,0.0011020792,"(-0.63005006 - (-0.64856267 / (exp(exp(cube(x1))) * 1.2475085))) * x1"
